Loan_ID,,Customer ID,,ApplicantIncome,,CoapplicantIncome,,Property_Area,,Loan_Status,,,,,,,,,,,
LP001157,"('LP001157',",IP43052,"LP43052',",3086,"3086,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001164,"('LP001164',",IP43053,"LP43053',",4230,"4230,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001179,"('LP001179',",IP43054,"LP43054',",4616,"4616,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001186,"('LP001186',",IP43055,"LP43055',",11500,"11500,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001194,"('LP001194',",IP43056,"LP43056',",2708,"2708,",1167,"1167,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001195,"('LP001195',",IP43057,"LP43057',",2132,"2132,",1591,"1591,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001197,"('LP001197',",IP43058,"LP43058',",3366,"3366,",2200,"2200,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001198,"('LP001198',",IP43059,"LP43059',",8080,"8080,",2250,"2250,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001199,"('LP001199',",IP43060,"LP43060',",3357,"3357,",2859,"2859,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001205,"('LP001205',",IP43061,"LP43061',",2500,"2500,",3796,"3796,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001206,"('LP001206',",IP43062,"LP43062',",3029,"3029,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001207,"('LP001207',",IP43063,"LP43063',",2609,"2609,",3449,"3449,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001213,"('LP001213',",IP43064,"LP43064',",4945,"4945,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001222,"('LP001222',",IP43065,"LP43065',",4166,"4166,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001225,"('LP001225',",IP43066,"LP43066',",5726,"5726,",4595,"4595,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001228,"('LP001228',",IP43067,"LP43067',",3200,"3200,",2254,"2254,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001233,"('LP001233',",IP43068,"LP43068',",10750,"10750,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001238,"('LP001238',",IP43069,"LP43069',",7100,"7100,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001241,"('LP001241',",IP43070,"LP43070',",4300,"4300,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001243,"('LP001243',",IP43071,"LP43071',",3208,"3208,",3066,"3066,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001245,"('LP001245',",IP43072,"LP43072',",1875,"1875,",1875,"1875,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001248,"('LP001248',",IP43073,"LP43073',",3500,"3500,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001250,"('LP001250',",IP43074,"LP43074',",4755,"4755,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001253,"('LP001253',",IP43075,"LP43075',",5266,"5266,",1774,"1774,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001255,"('LP001255',",IP43076,"LP43076',",3750,"3750,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001256,"('LP001256',",IP43077,"LP43077',",3750,"3750,",4750,"4750,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001259,"('LP001259',",IP43078,"LP43078',",1000,"1000,",3022,"3022,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001263,"('LP001263',",IP43079,"LP43079',",3167,"3167,",4000,"4000,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001264,"('LP001264',",IP43080,"LP43080',",3333,"3333,",2166,"2166,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001265,"('LP001265',",IP43081,"LP43081',",3846,"3846,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001266,"('LP001266',",IP43082,"LP43082',",2395,"2395,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001267,"('LP001267',",IP43083,"LP43083',",1378,"1378,",1881,"1881,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001273,"('LP001273',",IP43084,"LP43084',",6000,"6000,",2250,"2250,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001275,"('LP001275',",IP43085,"LP43085',",3988,"3988,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001279,"('LP001279',",IP43086,"LP43086',",2366,"2366,",2531,"2531,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001280,"('LP001280',",IP43087,"LP43087',",3333,"3333,",2000,"2000,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001282,"('LP001282',",IP43088,"LP43088',",2500,"2500,",2118,"2118,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001289,"('LP001289',",IP43089,"LP43089',",8566,"8566,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001310,"('LP001310',",IP43090,"LP43090',",5695,"5695,",4167,"4167,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001316,"('LP001316',",IP43091,"LP43091',",2958,"2958,",2900,"2900,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001318,"('LP001318',",IP43092,"LP43092',",6250,"6250,",5654,"5654,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001319,"('LP001319',",IP43093,"LP43093',",3273,"3273,",1820,"1820,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001322,"('LP001322',",IP43094,"LP43094',",4133,"4133,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001325,"('LP001325',",IP43095,"LP43095',",3620,"3620,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001326,"('LP001326',",IP43096,"LP43096',",6782,"6782,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001327,"('LP001327',",IP43097,"LP43097',",2484,"2484,",2302,"2302,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001333,"('LP001333',",IP43098,"LP43098',",1977,"1977,",997,"997,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001334,"('LP001334',",IP43099,"LP43099',",4188,"4188,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001343,"('LP001343',",IP43100,"LP43100',",1759,"1759,",3541,"3541,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001345,"('LP001345',",IP43101,"LP43101',",4288,"4288,",3263,"3263,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001349,"('LP001349',",IP43102,"LP43102',",4843,"4843,",3806,"3806,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001350,"('LP001350',",IP43103,"LP43103',",13650,"13650,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001356,"('LP001356',",IP43104,"LP43104',",4652,"4652,",3583,"3583,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001357,"('LP001357',",IP43105,"LP43105',",3816,"3816,",754,"754,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001367,"('LP001367',",IP43106,"LP43106',",3052,"3052,",1030,"1030,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001369,"('LP001369',",IP43107,"LP43107',",11417,"11417,",1126,"1126,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001370,"('LP001370',",IP43108,"LP43108',",7333,"7333,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001379,"('LP001379',",IP43109,"LP43109',",3800,"3800,",3600,"3600,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001384,"('LP001384',",IP43110,"LP43110',",2071,"2071,",754,"754,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001385,"('LP001385',",IP43111,"LP43111',",5316,"5316,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001387,"('LP001387',",IP43112,"LP43112',",2929,"2929,",2333,"2333,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001391,"('LP001391',",IP43113,"LP43113',",3572,"3572,",4114,"4114,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001392,"('LP001392',",IP43114,"LP43114',",7451,"7451,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001398,"('LP001398',",IP43115,"LP43115',",5050,"5050,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001401,"('LP001401',",IP43116,"LP43116',",14583,"14583,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001404,"('LP001404',",IP43117,"LP43117',",3167,"3167,",2283,"2283,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001405,"('LP001405',",IP43118,"LP43118',",2214,"2214,",1398,"1398,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001421,"('LP001421',",IP43119,"LP43119',",5568,"5568,",2142,"2142,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001422,"('LP001422',",IP43120,"LP43120',",10408,"10408,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001426,"('LP001426',",IP43121,"LP43121',",5667,"5667,",2667,"2667,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001430,"('LP001430',",IP43122,"LP43122',",4166,"4166,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001431,"('LP001431',",IP43123,"LP43123',",2137,"2137,",8980,"8980,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001432,"('LP001432',",IP43124,"LP43124',",2957,"2957,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001439,"('LP001439',",IP43125,"LP43125',",4300,"4300,",2014,"2014,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001443,"('LP001443',",IP43126,"LP43126',",3692,"3692,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001448,"('LP001448',",IP43127,"LP43127',",23803,"23803,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001449,"('LP001449',",IP43128,"LP43128',",3865,"3865,",1640,"1640,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001451,"('LP001451',",IP43129,"LP43129',",10513,"10513,",3850,"3850,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001465,"('LP001465',",IP43130,"LP43130',",6080,"6080,",2569,"2569,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001469,"('LP001469',",IP43131,"LP43131',",20166,"20166,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001473,"('LP001473',",IP43132,"LP43132',",2014,"2014,",1929,"1929,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001478,"('LP001478',",IP43133,"LP43133',",2718,"2718,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001482,"('LP001482',",IP43134,"LP43134',",3459,"3459,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001487,"('LP001487',",IP43135,"LP43135',",4895,"4895,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001488,"('LP001488',",IP43136,"LP43136',",4000,"4000,",7750,"7750,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001489,"('LP001489',",IP43137,"LP43137',",4583,"4583,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001491,"('LP001491',",IP43138,"LP43138',",3316,"3316,",3500,"3500,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001492,"('LP001492',",IP43139,"LP43139',",14999,"14999,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001493,"('LP001493',",IP43140,"LP43140',",4200,"4200,",1430,"1430,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001497,"('LP001497',",IP43141,"LP43141',",5042,"5042,",2083,"2083,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001498,"('LP001498',",IP43142,"LP43142',",5417,"5417,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001504,"('LP001504',",IP43143,"LP43143',",6950,"6950,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001507,"('LP001507',",IP43144,"LP43144',",2698,"2698,",2034,"2034,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001508,"('LP001508',",IP43145,"LP43145',",11757,"11757,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001514,"('LP001514',",IP43146,"LP43146',",2330,"2330,",4486,"4486,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001516,"('LP001516',",IP43147,"LP43147',",14866,"14866,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001518,"('LP001518',",IP43148,"LP43148',",1538,"1538,",1425,"1425,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001519,"('LP001519',",IP43149,"LP43149',",10000,"10000,",1666,"1666,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001520,"('LP001520',",IP43150,"LP43150',",4860,"4860,",830,"830,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001528,"('LP001528',",IP43151,"LP43151',",6277,"6277,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001529,"('LP001529',",IP43152,"LP43152',",2577,"2577,",3750,"3750,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001531,"('LP001531',",IP43153,"LP43153',",9166,"9166,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001532,"('LP001532',",IP43154,"LP43154',",2281,"2281,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001535,"('LP001535',",IP43155,"LP43155',",3254,"3254,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001536,"('LP001536',",IP43156,"LP43156',",39999,"39999,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001541,"('LP001541',",IP43157,"LP43157',",6000,"6000,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001543,"('LP001543',",IP43158,"LP43158',",9538,"9538,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001546,"('LP001546',",IP43159,"LP43159',",2980,"2980,",2083,"2083,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001552,"('LP001552',",IP43160,"LP43160',",4583,"4583,",5625,"5625,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001560,"('LP001560',",IP43161,"LP43161',",1863,"1863,",1041,"1041,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001562,"('LP001562',",IP43162,"LP43162',",7933,"7933,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001565,"('LP001565',",IP43163,"LP43163',",3089,"3089,",1280,"1280,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001570,"('LP001570',",IP43164,"LP43164',",4167,"4167,",1447,"1447,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001572,"('LP001572',",IP43165,"LP43165',",9323,"9323,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001574,"('LP001574',",IP43166,"LP43166',",3707,"3707,",3166,"3166,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001577,"('LP001577',",IP43167,"LP43167',",4583,"4583,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001578,"('LP001578',",IP43168,"LP43168',",2439,"2439,",3333,"3333,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001579,"('LP001579',",IP43169,"LP43169',",2237,"2237,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001580,"('LP001580',",IP43170,"LP43170',",8000,"8000,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001581,"('LP001581',",IP43171,"LP43171',",1820,"1820,",1769,"1769,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001585,"('LP001585',",IP43172,"LP43172',",51763,"51763,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001586,"('LP001586',",IP43173,"LP43173',",3522,"3522,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001594,"('LP001594',",IP43174,"LP43174',",5708,"5708,",5625,"5625,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001603,"('LP001603',",IP43175,"LP43175',",4344,"4344,",736,"736,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001606,"('LP001606',",IP43176,"LP43176',",3497,"3497,",1964,"1964,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001608,"('LP001608',",IP43177,"LP43177',",2045,"2045,",1619,"1619,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001610,"('LP001610',",IP43178,"LP43178',",5516,"5516,",11300,"11300,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001616,"('LP001616',",IP43179,"LP43179',",3750,"3750,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001630,"('LP001630',",IP43180,"LP43180',",2333,"2333,",1451,"1451,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001633,"('LP001633',",IP43181,"LP43181',",6400,"6400,",7250,"7250,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001634,"('LP001634',",IP43182,"LP43182',",1916,"1916,",5063,"5063,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001636,"('LP001636',",IP43183,"LP43183',",4600,"4600,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001637,"('LP001637',",IP43184,"LP43184',",33846,"33846,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001639,"('LP001639',",IP43185,"LP43185',",3625,"3625,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001640,"('LP001640',",IP43186,"LP43186',",39147,"39147,",4750,"4750,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001641,"('LP001641',",IP43187,"LP43187',",2178,"2178,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001643,"('LP001643',",IP43188,"LP43188',",2383,"2383,",2138,"2138,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001644,"('LP001644',",IP43189,"LP43189',",674,"674,",5296,"5296,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001647,"('LP001647',",IP43190,"LP43190',",9328,"9328,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001653,"('LP001653',",IP43191,"LP43191',",4885,"4885,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001656,"('LP001656',",IP43192,"LP43192',",12000,"12000,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001657,"('LP001657',",IP43193,"LP43193',",6033,"6033,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001658,"('LP001658',",IP43194,"LP43194',",3858,"3858,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
